,,Reply A,Reply B,Reply C
No KB Access,Talking like a teacher,27.1428571428571,50,22.8571428571429
,Understanding the student,31.4285714285714,38.5714285714286,30
,Helpful to the student,25.7142857142857,57.1428571428571,17.1428571428571
Partial KB Access,Talking like a teacher,44.2857142857143,38.5714285714286,17.1428571428571
,Understanding the student,41.4285714285714,35.7142857142857,22.8571428571429
,Helpful to the student,38.5714285714286,51.4285714285714,10
Full KB Access,Talking like a teacher,38.5714285714286,31.4285714285714,30
,Understanding the student,41.4285714285714,31.4285714285714,27.1428571428571
,Helpful to the student,34.2857142857143,45.7142857142857,20
